------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                -1.4,          1.20461e-06
               -1.39,          1.19472e-06
               -1.38,          1.18484e-06
               -1.37,          1.17495e-06
               -1.36,          1.16506e-06
               -1.35,          1.15516e-06
               -1.34,          1.14526e-06
               -1.33,          1.13535e-06
               -1.32,          1.12544e-06
               -1.31,          1.11552e-06
                -1.3,           1.1056e-06
               -1.29,          1.09567e-06
               -1.28,          1.08574e-06
               -1.27,           1.0758e-06
               -1.26,          1.06585e-06
               -1.25,           1.0559e-06
               -1.24,          1.04594e-06
               -1.23,          1.03598e-06
               -1.22,            1.026e-06
               -1.21,          1.01602e-06
                -1.2,          1.00604e-06
               -1.19,          9.96043e-07
               -1.18,           9.8604e-07
               -1.17,          9.76029e-07
               -1.16,           9.6601e-07
               -1.15,          9.55981e-07
               -1.14,          9.45943e-07
               -1.13,          9.35895e-07
               -1.12,          9.25836e-07
               -1.11,          9.15768e-07
                -1.1,          9.05687e-07
               -1.09,          8.95596e-07
               -1.08,          8.85492e-07
               -1.07,          8.75375e-07
               -1.06,          8.65245e-07
               -1.05,          8.55102e-07
               -1.04,          8.44943e-07
               -1.03,           8.3477e-07
               -1.02,           8.2458e-07
               -1.01,          8.14373e-07
                  -1,          8.04148e-07
               -0.99,          7.93905e-07
               -0.98,          7.83642e-07
               -0.97,          7.73358e-07
               -0.96,          7.63052e-07
               -0.95,          7.52722e-07
